"site","close_to","dist"
"D05-ADC1","D05-BRP1",328.63657739211
"S07-STJ1","S07-SAG1",511.165335287909
"S07-STJ1","S07-WGL1",966.913129500267
"D02-BMT2","D02-MOP1",879.441299917169
"D02-HUP1","D02-HUP2",37.1214223865412
"D02-MBS1","D02-MBS2",136.194713553794
"D02-MBS1","D02-MDU1",256.943573572098
"D02-MBS2","D02-MDU1",121.066097649177
"D03-AMP1","D03-MFP1",814.742290543458
"D03-AMP1","D03-MFP2",758.536749274549
"D03-MFP1","D03-MFP2",76.5310394545899
"D04-ROS1","D04-ROS2",126.905476635171
"J01-BBS1","J01-TFS1",791.960857618607
"J01-LMP1","J01-TFS1",508.630514224225
"S02-TNE1","S02-TNW1",271.425864648158
"S03-JKP1","S03-JKP2",455.273544146813
"S04-HAP1","S04-WEP1",959.913016892677
"D04-EDW1","D04-EDW2",86.4522989862039
"D04-EDW1","D04-EDW3",97.4166310236604
"D04-EDW1","D04-EVC1",278.890659578266
"D04-EDW1","D04-EVC2",297.477730258922
"D04-EDW2","D04-EDW3",160.461833468274
"D04-EDW2","D04-EVC1",246.531945191693
"D04-EDW2","D04-EVC2",301.444853994889
"D04-EDW3","D04-EVC1",248.406924219113
"D04-EDW3","D04-EVC2",227.528020252452
"D04-EVC1","D04-EVC2",125.159897730863
"D07-BEC1","D07-BEC2",253.239017530869
"D08-DAW1","D08-DAW3",453.56476935494
"R04-MMW1","R04-MMW2",209.458826502967
"S06-CBW1","S06-CBW2",536.152963248363
"S07-SAG1","S07-WGL1",885.804154426925
"S07-SAG1","S07-WGL2",859.446915172776
"R06-SLT1","R06-SLT2",773.502424042743
"R09-LIM1","R09-LIM2",457.983624161389
"R10-WCP2","R10-WCP3",319.269478654005
"R10-WDW1","R10-WDW2",96.4261375354214
"S07-WGL1","S07-WGL2",155.589202710214
"S08-WGL1","S08-WGL2",648.919101275344
"D10-CAN1","D10-CAN2",80.9567785920364
"D10-MAC1","D10-KEM1",917.553813135775
"D09-CLG1","D09-CLG2",651.049153290287
"R09-CTG1","R09-CTG2",248.098770653947
"S05-SFP1","S05-SFP2",187.488666324127
"S05-SFP1","S05-SFP3",393.061267687685
"S05-SFP2","S05-SFP3",219.417775388071
"D09-BON1","D09-BON2",216.004629580016
"S09-ILC1","S10-ILC1",407.443247581795
"S09-VTW1","S09-VTW2",207.38611332488
"S10-LPP1","S10-LPP2",24.5967477524977
"C05-EGG1","C05-EGG2",843.80300759419
