"areaName","landOwnerName","fullName","commonName","year"
"National Capital","4-Mile Run Conservancy","4-Mile Run","Bird",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Common Grackle",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Eastern gray squirrel",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Empty",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Human",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Mourning Dove",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Raccoon",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Red fox",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Unknown",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","White-tailed deer",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Bird",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Bird - Blue jay",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Eastern chipmunk",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Eastern cottontail rabbit",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Eastern gray squirrel",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Empty",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Flying squirrel (cannot ID)",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Human",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Mouse",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Northern Flicker",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Raccoon",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Red fox",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Unknown",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","White-tailed deer",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","White-throated sparrow",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Wood Thrush ",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","American robin",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Bird",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Bird - Blue jay",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Domestic cat",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Downy Woodpecker",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Eastern chipmunk",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Eastern cottontail rabbit",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Eastern gray squirrel",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Empty",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Human",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Raccoon",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Red fox",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Unknown",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","White-tailed deer",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Wood Thrush ",2020
"National Capital","City of Alexandria ","Ben Brenman Park","Empty",2020
"National Capital","City of Alexandria ","Ben Brenman Park","Human",2020
"National Capital","City of Alexandria ","Ben Brenman Park","Red fox",2020
