"areaName","locationAbbr","utmEast","utmNorth","utmZone","defaultTimeZone","activeStart","activeEnd","lureName","visitID"
"Boston, Mass.","STR",342958.3125,4648424.5,"19N","US/Eastern",2021-06-04 17:11:00,2021-06-17 16:31:33,"No Lure",20565
"Boston, Mass.","GRT",341064.875,4647573,"19N","US/Eastern",2021-06-05 16:15:00,2021-06-17 16:00:13,"No Lure",20608
"Chicago, IL","J01-LMP1",449308,4631876,"16N","America/Chicago",2010-01-08 15:55:00,2010-01-22 16:52:08,"No Lure",7262
"Chicago, IL","J01-LMP1",449308,4631876,"16N","America/Chicago",2010-01-22 16:54:00,2010-02-05 16:11:29,"No Lure",7889
"Chicago, IL","D02-BMT2",440869.21875,4640457.5,"16N","America/Chicago",2010-12-31 22:50:00,2019-01-24 17:55:00,"Fatty acid tablet",1302
"Chicago, IL","D02-SCP1",443127,4641452,"16N","America/Chicago",2011-01-01 06:00:00,2019-01-20 20:31:18,"Fatty acid tablet",802
"Chicago, IL","D02-SCP1",443127,4641452,"16N","America/Chicago",2011-01-01 06:00:00,2019-01-28 22:58:28,"Fatty acid tablet",1295
"Chicago, IL","R10-WCP3",397958,4638235,"16N","America/Chicago",2013-01-01 06:00:00,2020-07-20 23:26:54,"No Lure",11679
"Chicago, IL","D02-JBS1",446955,4644300,"16N","America/Chicago",2013-06-28 14:18:00,2013-07-19 14:17:25,"Fatty acid tablet",2456
"Chicago, IL","D06-KCG1",429421,4658994,"16N","America/Chicago",2013-07-01 07:44:00,2013-07-15 07:09:58,"Fatty acid tablet",2394
"Chicago, IL","S10-LPC1",412640,4604963,"16N","America/Chicago",2013-07-01 13:15:00,2013-07-16 13:23:06,"Fatty acid tablet",2477
"Chicago, IL","S10-LPP2",410631,4604024,"16N","America/Chicago",2013-07-01 13:48:00,2013-07-16 13:45:47,"Fatty acid tablet",2480
"Chicago, IL","S10-LEW1",410239,4605858,"16N","America/Chicago",2013-07-01 14:09:00,2013-07-16 14:09:54,"Fatty acid tablet",2483
"Chicago, IL","D10-MAC1",423491,4678479,"16N","America/Chicago",2013-07-01 14:21:00,2013-07-15 13:55:01,"Fatty acid tablet",2364
"Chicago, IL","S10-ILC1",410942,4610112,"16N","America/Chicago",2013-07-01 14:30:00,2013-07-16 14:35:07,"Fatty acid tablet",2486
"Chicago, IL","D10-CAN1",422570,4676856,"16N","America/Chicago",2013-07-01 14:44:00,2013-07-15 14:16:48,"Fatty acid tablet",2355
"Chicago, IL","S09-ILC1",410923,4610519,"16N","America/Chicago",2013-07-01 14:51:00,2013-07-16 14:49:45,"Fatty acid tablet",2495
"Chicago, IL","D10-VHC1",421816,4674934,"16N","America/Chicago",2013-07-01 15:06:00,2013-07-15 14:36:38,"Fatty acid tablet",2361
"Chicago, IL","S09-VTW2",411772,4613771,"16N","America/Chicago",2013-07-01 15:16:00,2013-07-04 16:58:41,"Fatty acid tablet",2498
"Chicago, IL","D09-VTC1",423286,4672819,"16N","America/Chicago",2013-07-01 15:32:00,2013-07-15 14:59:04,"Fatty acid tablet",2358
"Chicago, IL","S09-KTP1",413952,4614568,"16N","America/Chicago",2013-07-01 15:34:00,2013-07-16 15:26:03,"Fatty acid tablet",2489
"Chicago, IL","S09-SMC1",415686,4612193,"16N","America/Chicago",2013-07-01 15:53:00,2013-07-16 15:44:53,"Fatty acid tablet",2492
"Chicago, IL","D09-RYW1",425325,4669890,"16N","America/Chicago",2013-07-01 15:56:00,2013-07-15 15:34:05,"Fatty acid tablet",2367
"Chicago, IL","D09-CLG1",424348,4670718,"16N","America/Chicago",2013-07-01 16:36:00,2013-07-15 16:03:48,"Fatty acid tablet",2373
"Chicago, IL","S08-WGL2",417471,4616052,"16N","America/Chicago",2013-07-01 16:56:00,2013-07-16 16:47:11,"Fatty acid tablet",2501
"Chicago, IL","D08-CCC1",423792,4667808,"16N","America/Chicago",2013-07-01 17:15:00,2013-07-15 16:39:43,"Fatty acid tablet",2376
"Chicago, IL","S08-WGL1",416857,4616262,"16N","America/Chicago",2013-07-01 17:21:00,2013-07-16 17:07:59,"Fatty acid tablet",2504
