utmNorth,utmEast,locationAbbr
4646615,444847,D03-STB1
4651062,433486,D05-ADC1
4656746,425518,D07-ASC1
4656804,426640,D07-ASC2
4635651,424431,R05-MTC1
4623607,431534,S05-RES1
4616686,422440,S07-STJ1
4634101,429577,R04-SCH1
4640484,444456,D02-BMT1
4640447,440629,D02-BMT2
4639557,441984,D02-HUP1
4639560,442021,D02-HUP2
4644300,446955,D02-JBS1
4645804,447564,D02-MBS1
4645939,447546,D02-MBS2
4646060,447542,D02-MDU1
4640991,439938,D02-MOP1
4643467,442530,D02-RCP1
4641452,443127,D02-SCP1
4644105,440609,D03-AFP1
4646551,438005,D03-AMP1
4643667,436807,D03-CHP1
4647289,439467,D03-GOM1
4645302,442425,D03-HOR1
4645949,438554,D03-MFP1
4645958,438478,D03-MFP2
4646204,435016,D04-DNP1
4647531,437490,D04-FGP1
4648923,434928,D04-RDP1
4648618,443025,D04-ROS1
4648645,442901,D04-ROS2
4651141,433167,D05-BRP1
4633118,449319,J01-BBS1
4640354,445913,J01-CLP1
4631876,449308,J01-LMP1
4634500,449545,J01-NOR1
4639027,446999,J01-SEP1
4636654,445154,J01-SKP1
4632347,449500,J01-TFS1
4636103,442607,R02-ALT1
4634510,441926,R02-DPG1
4634676,439183,R02-FRP1
4637147,440717,R02-GFP1
4637589,436203,R03-AUP1
4636259,435929,R03-CPG1
4629074,450739,S02-BNS1
4631036,442042,S02-BRI1
4632517,444272,S02-CPR1
4630690,443849,S02-MCP1
4631521,439385,S02-PIP1
4632666,446141,S02-PLP1
4630663,450172,S02-TNE1
4630397,450118,S02-TNW1
4628447,439022,S03-ARP1
4625766,451553,S03-JKP1
4626151,451796,S03-JKP2
4629399,437635,S03-LCP1
4626503,439199,S03-PSP1
4628109,437876,S03-VIP1
4629118,440288,S03-WAP1
4625682,435234,S04-HAP1
4627804,433760,S04-SSP1
4626105,433888,S04-VFP1
4626634,435111,S04-WEP1
4648962,436694,D04-EDW1
4648897,436637,D04-EDW2
4649055,436665,D04-EDW3
4649014,436420,D04-EVC1
4649135,436452,D04-EVC2
4652772,434129,D05-MIA1
4658894,426772,D07-BEC1
4659103,426629,D07-BEC2
4660625,427273,D07-NOC1
4663690,426250,D08-DAW1
4665194,425502,D08-DAW2
4664126,426125,D08-DAW3
4633589,431043,R04-MMW1
4633766,430931,R04-MMW2
4629563,433244,S04-OTW1
4619769,425314,S06-CBW1
4620051,425770,S06-CBW2
4616369,422039,S07-SAG1
4635567,420847,R06-SLT1
4634509,422550,R06-YOW1
4635414,413527,R07-GOF1
4632753,411883,R08-WBK1
4635214,404784,R09-BLW1
4636101,406346,R09-LIM1
4636071,406803,R09-LIM2
4637762,398919,R10-WCP1
4638078,397680,R10-WCP2
4638235,397958,R10-WCP3
4635576,401055,R10-WDW1
4635649,400992,R10-WDW2
4617126,421579,S07-WGL1
4617014,421471,S07-WGL2
4616262,416857,S08-WGL1
4616052,417471,S08-WGL2
4630453,395087,R10-FRM1
4632027,395829,R10-FRM2
4636475,410451,R08-DAP1
4634351,412095,R08-PAP1
4658994,429421,D06-KCG1
4669890,425325,D09-RYW1
4676856,422570,D10-CAN1
4676831,422493,D10-CAN2
4678479,423491,D10-MAC1
4605858,410239,S10-LEW1
4633726,415139,R07-FSP1
4636279,416773,R07-MMP1
4637181,427869,R05-STP1
4633860,418834,R06-OTB1
4635174,434285,R03-EUC1
4635416,433295,R03-MAP1
4654039,431095,D05-MHC1
4652505,431129,D05-PRC1
4667808,423792,D08-CCC1
4670718,424348,D09-CLG1
4671322,424105,D09-CLG2
4633329,424224,R05-FMG1
4634340,426715,R05-GOC1
4633916,411104,R08-VLG1
4634157,404483,R09-CTG1
4634164,404731,R09-CTG2
4633792,403529,R09-CTG3
4634032,407666,R09-SMI1
4621558,429760,S05-LNC1
4623564,428795,S05-SFP1
4623408,428691,S05-SFP2
4612193,415686,S09-SMC1
4604963,412640,S10-LPC1
4635431,446383,J01-UIC1
4661968,425355,D07-PLN1
4665606,427092,D08-BOR1
4670997,421556,D09-BON1
4671190,421459,D09-BON2
4678827,422642,D10-KEM1
4636302,420606,R06-SLT2
4635347,417861,R07-YHR1
4674934,421816,D10-VHC1
4672819,423286,D09-VTC1
4610519,410923,S09-ILC1
4614568,413952,S09-KTP1
4613668,411592,S09-VTW1
4613771,411772,S09-VTW2
4610112,410942,S10-ILC1
4604013,410609,S10-LPP1
4604024,410631,S10-LPP2
4634958,431311,R04-MMW3
4619021,419270,S07-ARG1
4617933,418417,S07-ARG2
4611550,451106,C05-BEA1
4610553,451554.90625,C06-BEA2
4615281,456196.6875,C05-EGG1
4614501,455874.8125,C05-EGG2
4648473,439667,D03-NPV1
4623311,428494.1875,S05-SFP3
4618080,452300,C04-MBP1
4611833.5,452547.75,C06-HMP1
4616048.5,452144.5,C05-BMP1
4615039,452990,C05-BMP2
