Cities,Bobcat,Coyote,Red fox
"Austin, Texas",0,1,0
"Edmonton, Alberta",0,1,0
Lure Study,0,1,0
"Portland, Oregon",0,1,0
"Chicago, IL",0,1,1
Dallas-Fort Worth TX,1,1,0
"Denver, Colorado",0,1,1
"Houston, Texas",1,1,0
"Indianapolis, IN",0,1,1
"Madison, Wisconsin",0,1,1
National Capital,0,1,1
"Pasadena, California",1,1,0
"Phoenix, Arizona",1,1,0
"Rochester, New York",0,1,1
"San Francisco, Calif",0,1,1
"Saskatoon, SK",0,1,1
"Tacoma, Washington",1,1,0
"Urbana, Illinois",0,1,1
"Wilmington, Delaware",0,1,1
"Atlanta, Georgia",1,1,1
"Iowa City, Iowa",1,1,1
"Jackson, Mississippi",1,1,1
"Little Rock, AR",1,1,1
"Oakland, California",1,1,1
Orange County,1,1,1
"Sanford, Florida",1,1,1
"St. Louis, Missouri",1,1,1
